temporada;data;time_casa;time_fora;gols_casa_ft;gols_fora_ft;resultado_ft;odd_pinnacle_casa;odd_pinnacle_empate;odd_pinnacle_fora;odd_media_casa;odd_media_empate;odd_media_fora
2012;2012-09-05;Flamengo RJ;Ponte Preta;0;1;A;2,14;3,62;3,5;2,02;3,33;3,48
2012;2012-09-05;Nautico;Vasco;1;1;D;2,34;3,41;3,28;2,35;3,23;2,89
2012;2012-09-05;Portuguesa;Coritiba;3;0;H;1,98;3,63;4,08;1,96;3,37;3,63
2012;2012-09-06;Gremio;Atletico GO;2;1;H;1,43;4,69;8,94;1,38;4,36;8,09
2012;2012-09-06;Cruzeiro;Botafogo RJ;1;3;A;1,94;3,76;4,09;1,9;3,42;3,8
2012;2012-09-06;Figueirense;Corinthians;1;0;H;2,73;3,33;2,78;2,54;3,17;2,68
2012;2012-09-06;Sao Paulo;Internacional;1;1;D;1,95;3,65;4,13;1,82;3,44;4,15
2012;2012-09-07;Fluminense;Santos;3;1;H;1,74;3,74;5,38;1,65;3,62;4,98
2012;2012-09-07;Palmeiras;Sport Recife;3;1;H;1,6;4,15;6,3;1,53;3,8;6,09
2012;2012-09-08;Coritiba;Flamengo RJ;3;0;H;1,68;4,11;5,35;1,71;3,62;4,63
2012;2012-09-08;Ponte Preta;Figueirense;2;2;D;1,84;3,79;4,61;1,76;3,54;4,32
2012;2012-09-09;Corinthians;Gremio;3;1;H;2,7;3,32;2,81;2,48;3,15;2,77
2012;2012-09-09;Botafogo RJ;Nautico;3;1;H;1,67;3,96;5,78;1,65;3,67;5
2012;2012-09-09;Internacional;Fluminense;0;1;A;2,5;3,32;3,06;2,53;3,17;2,7
2012;2012-09-09;Santos;Sao Paulo;0;0;D;3,21;3,34;2,41;3,05;3,25;2,25
2012;2012-09-09;Atletico GO;Portuguesa;1;1;D;2,5;3,46;2,97;2,32;3,23;2,93
2012;2012-09-09;Atletico-MG;Palmeiras;3;0;H;1,68;3,92;5,7;1,57;3,74;5,72
2012;2012-09-09;Sport Recife;Cruzeiro;2;1;H;2,54;3,46;2,91;2,54;3,17;2,68
2012;2012-09-09;Vasco;Bahia;0;4;A;1,67;3,96;5,73;1,57;3,74;5,68
2012;2012-09-12;Corinthians;Ponte Preta;1;1;D;1,79;3,61;5,29;1,66;3,61;4,98
2012;2012-09-12;Figueirense;Cruzeiro;2;0;H;2,31;3,59;3,17;2,26;3,29;3
2012;2012-09-12;Portuguesa;Fluminense;0;2;A;3,29;3,35;2,36;2,84;3,22;2,41
2012;2012-09-13;Atletico GO;Coritiba;1;2;A;2,23;3,53;3,42;2,29;3,29;2,95
2012;2012-09-13;Sport Recife;Bahia;1;1;D;2,5;3,36;3,05;2,33;3,22;2,95
2012;2012-09-13;Atletico-MG;Sao Paulo;1;0;H;1,72;3,93;5,22;1,69;3,65;4,71
2012;2012-09-13;Santos;Flamengo RJ;2;0;H;1,74;3,99;5,03;1,65;3,68;4,95
2012;2012-09-13;Vasco;Palmeiras;3;1;H;2,36;3,26;3,41;2,07;3,21;3,56
2012;2012-09-14;Botafogo RJ;Internacional;1;1;D;2,17;3,56;3,52;2,23;3,24;3,11
2012;2012-09-14;Gremio;Nautico;2;0;H;1,33;5,5;11,05;1,29;5,09;9,54
2012;2012-09-15;Sao Paulo;Portuguesa;3;1;H;1,67;3,88;5,92;1,61;3,7;5,28
2012;2012-09-15;Fluminense;Atletico GO;1;2;A;1,53;4,24;7,24;1,46;4,13;6,61
2012;2012-09-16;Bahia;Figueirense;2;1;H;1,8;3,76;4,9;1,82;3,44;4,16
2012;2012-09-16;Coritiba;Santos;1;2;A;2,04;3,53;3,93;2,02;3,35;3,46
2012;2012-09-16;Cruzeiro;Vasco;1;1;D;2,69;3,25;2,89;2,51;3,17;2,73
2012;2012-09-16;Nautico;Atletico-MG;1;0;H;3,2;3,46;2,36;2,88;3,24;2,34
2012;2012-09-16;Palmeiras;Corinthians;0;2;A;2,47;3,2;3,25;2,52;3,08;2,77
2012;2012-09-16;Flamengo RJ;Gremio;1;1;D;2,9;3,39;2,6;2,75;3,2;2,46
2012;2012-09-16;Internacional;Sport Recife;2;2;D;1,34;5,22;11,09;1,35;4,53;8,53
2012;2012-09-16;Ponte Preta;Botafogo RJ;0;0;D;2,31;3,41;3,32;2,26;3,27;3,01
2012;2012-09-22;Figueirense;Palmeiras;1;3;A;2,71;3,46;2,72;2,56;3,23;2,62
2012;2012-09-22;Fluminense;Nautico;2;1;H;1,39;5,01;9,32;1,34;4,54;8,61
2012;2012-09-23;Santos;Portuguesa;1;3;A;2,25;3,44;3,41;2,14;3,26;3,25
